id,prompt_group,fold
30192,c510d324a4fa87a1fa0b,1
53567,9e150ade7b46d10ef7ba,4
65089,6bb3dde5962bb3eebc30,6
96401,86d03382aa6fd4a0a3c3,5
198779,88d751782f277252917f,6
292873,ea0a7a372ceb135a12fe,9
313413,42f5dd2a8e9cc1648430,3
370945,01ff833da08ce77b1881,7
441448,f8fd6418823d1f188d17,9
481524,fcd2143cd777f04b0487,7
497862,5a697702d4063b0418f0,2
587904,409f48711eff1d724546,1
604575,cacf8654997eef15bb4d,1
738614,dba51c50b4968c93a5b9,8
862324,75d67fef293a20f13531,8
863398,669e26f91a382032f3af,9
887722,1e3f5f5bd8ea62b7d9e8,4
914644,e063c9565f44f34e88b5,3
933555,3a208761231d5e6e72c1,6
1120158,232de3faf7eb9914c1d5,0
1256092,93e03fb17624c091d377,1
1404102,c27ddb7676889bc6db0e,9
1440765,e03e345c89da10b8167a,0
1458108,d9892668402aeaa33f04,2
1491225,5b2899726fdbcb1dbc4f,7
1594211,a8933cb1fffc24d37620,8
1639617,ae51a77e5c338c01077b,1
1744093,2d2d3cbd80bf63d99659,9
1813737,20f31616cf52a8589dc7,8
1827787,b95784bbd672c6d0387a,4
1842252,0c2a1054a601f1aea781,3
2051408,141971b95098fd94e42d,5
2154496,cb6c9f764581a23b14fe,8
2298796,fe7667be9b76253353a2,6
2388511,8e05f8f11f7f4914e687,2
2802516,fe2e68e6ac2c7bd22180,0
2857714,581ea70203711ac70f76,1
2912862,b26552c2b1ff6f8f8a7c,5
2944182,aeec81869bfaaaba7e08,9
3254113,1f3dfe383dec4c3ab888,5
3258431,bf451ff8333f17b1b646,0
3259481,c13cb3dc9da8dacc137f,6
3373963,88484565a4652d07c63d,1
3445782,374cfba0d0418ee10fb9,8
3475655,4d5ccc2685dfc01bec0d,3
3499263,42e22c163c2a838f763c,9
3503031,d1b8db3eead561254b3c,5
3504181,5b5831765771f3287709,3
3519254,d94dfcdc1c6a0b8862cd,1
3567106,355ef854bbc75ca67d92,2
3578663,dcb9b95abb2f2b548828,0
3590999,ecfd160805b1b0481fd0,8
3622781,440bb01f98f4b9a56249,6
3643104,2cbcb5e1e89f6e49b4fb,7
3710170,f8b98c196b4dd32c8ee4,0
3760933,9bddaaf085ba067ba3c4,7
3773792,9632d9f8eaf43537386a,8
3777134,d2e2a8a96c499d12d677,7
3994811,ecd6a0cb783ea15b54e3,3
3995635,6e825842977378bbfd86,7
4186011,941d91452d503b0c35bc,4
4349090,8b3871fd60043bc1538c,8
4356730,711dc2608df1c926cd70,1
4486480,d12fadb801ba057c1a2c,4
4510489,bbf136724a8b67a3aca4,0
4587071,d735ec355554438d18bd,3
4615863,6c6650457b2cad55a6fa,4
4683272,128938e2d15f0d92f2fe,5
4790276,f2a39fd11f04fe22bf52,5
4961077,1799b218b7e949093f9c,3
4970917,cd71f57b57ec230768e1,3
4990514,5fe4ec64e9a13f7bd699,0
5061737,f340feb512dbcf66df15,4
5069186,6b89e9bb1e715c70d648,1
5166668,8aa4c2b6c111d57743bb,8
5187535,4cff7538faacc51dae4b,7
5188727,40f624d5ae7bb327f0cc,7
5378146,11445789b36600cd936d,8
5498037,16b9eb2e11c5f8f4f0a0,2
5530797,e8b0bc6575ef62ff8924,6
5717448,b91ffab75a64fc40f6e9,3
5879089,ee4f3298092868382f78,4
5973148,6ced14af740cd2996801,8
6058088,cfb0af9121411fbff9e7,4
6223290,d5301167476b267c995b,1
6241568,98e2d533ca93c2f33c3e,6
6274602,c7bdcdda06995d728649,9
6287371,72147d336291627f661e,8
6394907,c079c5c0088568c32180,4
6447538,ebea61cf5a17030bcf30,9
6492528,fd87724b2bdbd18bc9bf,8
6570133,301d1039cecb251b31e9,8
6701196,eb391e0d13176c4d4b9e,8
6807968,18ae13ca5c87e905ab5a,8
6817408,dcbd4ff57f89ff3ef805,3
6831350,19a7d5d9b7034a493fd0,3
6853605,cbc581efd56ba23a8d5e,8
7021095,d59b47caaf7aac6d1bee,7
7047857,5245633b852b9398608a,4
7271889,7875f053b86967feb145,1
7311145,656d8e905dee2c55a68c,9
7324219,9fbcaa666d7fa99b77f1,7
