name,stage,word_ngram_range,character_ngram_range,word_max_features,character_max_features,word_min_df,character_min_df,max_df,alpha,log_loss,accuracy,macro_f1,ece_15,brier_score,swap_error_l1,word_vocabulary_size,character_vocabulary_size,feature_columns,training_matrix_nonzero,candidate_runtime_seconds,stage_reference,delta_log_loss_vs_stage_reference,delta_log_loss_vs_b2,stage_winner,accepted_after_stage
b2_control,control,"[1, 2]","[3, 5]",75000,50000,3,5,0.995,0.0003,1.0410412168069425,0.470936303515489,0.4628297499871627,0.0126525945568849,0.6233326309640884,0.0195825289155191,75000,50000,250064,169920590,824.144752182,E20260909125010457517__s42__c8fe0494__20260909T141523483727Z,0.0005258401343231078,0.0005258401343231078,b2_control,True
word_ngram_range_1_1,word_ngram_range,"[1, 1]","[3, 5]",75000,50000,3,5,0.995,0.0003,1.042922849077654,0.4684998259658893,0.4596236233965274,0.0159059765937649,0.6247871406652973,0.0229550164534979,75000,50000,250064,158554866,744.3153439119997,b2_control,0.0018816322707115862,0.002407472405034694,word_ngram_range_1_3,False
word_ngram_range_1_3,word_ngram_range,"[1, 3]","[3, 5]",75000,50000,3,5,0.995,0.0003,1.039203449983376,0.4718064740689175,0.4633077650494057,0.0204107382323047,0.6226017400135888,0.0251774248954256,75000,50000,250064,172479413,975.0499490809998,b2_control,-0.0018377668235665112,-0.0013119266892434034,word_ngram_range_1_3,True
character_ngram_range_2_5,character_ngram_range,"[1, 3]","[2, 5]",75000,50000,3,5,0.995,0.0003,1.0363606385463362,0.4737208492864601,0.4658650443678119,0.0190381162769613,0.6210461309631322,0.0212674184291288,75000,50000,250064,193719117,1110.6456913379998,word_ngram_range_1_3,-0.002842811437039794,-0.004154738126283197,character_ngram_range_2_5,True
character_ngram_range_3_6,character_ngram_range,"[1, 3]","[3, 6]",75000,50000,3,5,0.995,0.0003,1.0398877008763072,0.4714584058475461,0.4636729286802409,0.0196286598758954,0.6230238788223322,0.0208837493104923,75000,50000,250064,199285870,1077.169876459,word_ngram_range_1_3,0.0006842508929312263,-0.0006276757963121771,character_ngram_range_2_5,False
word_max_features_50000,word_max_features,"[1, 3]","[2, 5]",50000,50000,3,5,0.995,0.0003,1.03827221881154,0.4730247128437174,0.4651931437344805,0.0213063494558739,0.6218064398050835,0.0225076131426859,50000,50000,200064,191755640,1068.743050067999,character_ngram_range_2_5,0.0019115802652038827,-0.0022431578610793146,word_max_features_100000,False
word_max_features_100000,word_max_features,"[1, 3]","[2, 5]",100000,50000,3,5,0.995,0.0003,1.035756009208025,0.4735468151757744,0.465951258411853,0.0187851484590675,0.6206960634422526,0.031225864628237,100000,50000,300064,195121116,1139.2275645179989,character_ngram_range_2_5,-0.0006046293383112911,-0.004759367464594488,word_max_features_100000,True
character_max_features_25000,character_max_features,"[1, 3]","[2, 5]",100000,25000,3,5,0.995,0.0003,1.037489095237253,0.4725026105116602,0.4640217768613368,0.0217410400010775,0.6213576996724196,0.0180523010149813,100000,25000,250064,184291504,1107.027314197001,word_max_features_100000,0.0017330860292281702,-0.003026281435366318,word_max_features_100000,False
character_max_features_75000,character_max_features,"[1, 3]","[2, 5]",100000,75000,3,5,0.995,0.0003,1.0383750988501044,0.4718064740689175,0.4634346504102463,0.014897394302519,0.62175447566622,0.02359377792605,100000,75000,350064,199173495,1164.611899769001,word_max_features_100000,0.002619089642079464,-0.0021402778225150243,word_max_features_100000,False
word_min_df_1,word_min_df,"[1, 3]","[2, 5]",100000,50000,1,5,0.995,0.0003,1.0359195391832534,0.4723285764009746,0.464610043562577,0.0199978522392602,0.6209530126908445,0.022388701129239,100000,50000,300064,195110916,1141.6541644589995,word_max_features_100000,0.00016352997522850465,-0.004595837489365984,word_max_features_100000,False
word_min_df_5,word_min_df,"[1, 3]","[2, 5]",100000,50000,5,5,0.995,0.0003,1.0363977545863077,0.4718064740689175,0.4640517528568083,0.0212600495813021,0.6211931693886522,0.0166912739275335,100000,50000,300064,195136728,1143.3939040769983,word_max_features_100000,0.0006417453782827653,-0.004117622086311723,word_max_features_100000,False
character_min_df_3,character_min_df,"[1, 3]","[2, 5]",100000,50000,3,3,0.995,0.0003,1.0364206532865208,0.473198746954403,0.4655271097878428,0.0184323305843409,0.621096871284982,0.0211448112776263,100000,50000,300064,195117322,1093.1403033099996,word_max_features_100000,0.0006646440784958685,-0.00409472338609862,word_max_features_100000,False
character_min_df_8,character_min_df,"[1, 3]","[2, 5]",100000,50000,3,8,0.995,0.0003,1.03666562319464,0.4723285764009746,0.464694803773472,0.018838100951617972,0.6213024386041693,0.020645498965492493,100000,50000,300064,195124836,1107.6951075069992,word_max_features_100000,0.0009096139866151542,-0.003849753477979334,word_max_features_100000,False
alpha_0.001,alpha,"[1, 3]","[2, 5]",100000,50000,3,5,0.995,0.001,1.0430487888689957,0.4665854507483467,0.456852045622471,0.017779417737819624,0.6260533020364896,0.009074627290329146,100000,50000,300064,195121116,1101.352557743001,word_max_features_100000,0.00729277966097075,0.0025334121963762612,word_max_features_100000,False
alpha_0.0001,alpha,"[1, 3]","[2, 5]",100000,50000,3,5,0.995,0.0001,1.0690032243019587,0.4752871562826314,0.468426647267655,0.06409604008289989,0.6312363776018838,0.043460954194587294,100000,50000,300064,195121116,1109.9070643609994,word_max_features_100000,0.0332472150939338,0.028487847629339313,word_max_features_100000,False
